"","o1","o2","o3","o4","o5","o6","o7","o8","Deployment_id","Longitude","Latitude","e1","e2","e3","e4","NA","NA","NA","NA"
"CT-LC-2-54",0,0,0,0,0,0,0,0,"CT-LC-2-54","0.950073","-77.129784",19.5,20,20,20,20,20,20,14.5
"CT-LC-2-55",0,0,0,0,0,0,NA,NA,"CT-LC-2-55","0.9342","-77.11148",19.5,20,20,20,20,13.5,NA,NA
"CT-LC-2-59",0,1,0,0,0,NA,NA,NA,"CT-LC-2-59","0.94944","-77.142921",19.5,20,20,20,11.5,NA,NA,NA
"CT-LC-2-60",0,0,0,0,0,NA,NA,NA,"CT-LC-2-60","0.918569","-77.128831",19.5,20,20,20,2.5,NA,NA,NA
"CT-LC-2-61",0,0,1,0,0,NA,NA,NA,"CT-LC-2-61","0.926816","-77.120458",19.5,20,20,20,11.5,NA,NA,NA
"CT-LC-2-62",0,0,0,0,0,NA,NA,NA,"CT-LC-2-62","0.93132","-77.120358",19.5,20,20,20,11.5,NA,NA,NA
"CT-LC-2-63",0,0,0,0,0,NA,NA,NA,"CT-LC-2-63","0.930474","-77.112238",19.5,20,20,20,19.5,NA,NA,NA
"CT-LC-2-64",0,0,0,0,0,NA,NA,NA,"CT-LC-2-64","0.931426","-77.115976",19.5,20,20,20,19.5,NA,NA,NA
"CT-LC-2-65",0,0,0,0,0,NA,NA,NA,"CT-LC-2-65","0.914912","-77.129259",19.5,20,20,20,2.5,NA,NA,NA
"CT-LC-2-66",0,0,0,0,0,NA,NA,NA,"CT-LC-2-66","0.931458","-77.107014",19.5,20,20,20,4.5,NA,NA,NA
"CT-LC-2-67",0,0,0,0,0,NA,NA,NA,"CT-LC-2-67","0.93166","-77.125129",19.5,20,20,20,11.5,NA,NA,NA
"CT-LC-2-57",0,NA,NA,NA,NA,NA,NA,NA,"CT-LC-2-57","0.927518","-77.138322",1,NA,NA,NA,NA,NA,NA,NA
