Deployment_id,Longitude,Latitude,o1,o2,o3,o4,o5,d1,d2,d3,d4,d5,p1,p2,p3,p4,p5,e1,e2,e3,e4,e5
CT-UC-02-34,-75.54375,4.707111111,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,9.5,10,10,10,0.5
CT-UC-02-01,-75.56972222,4.733611111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-02,-75.56988889,4.738388889,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9.5,10,10,10,5.5
CT-UC-02-03,-75.56547222,4.73825,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,9.5,10,10,10,5.5
CT-UC-02-04,-75.56094444,4.7385,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,9.5,10,10,10,5.5
CT-UC-02-05,-75.55780556,4.741805556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-06,-75.58108333,4.75125,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-07,-75.57630556,4.751027778,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-08,-75.57166667,4.751055556,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,9.5,10,10,10,5.5
CT-UC-02-10,-75.56772222,4.753388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-11,-75.56730556,4.759333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-12,-75.56258333,4.7605,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9.5,10,10,10,5.5
CT-UC-02-13,-75.55858333,4.762722222,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,9.5,10,10,10,5.5
CT-UC-02-14,-75.53416667,4.700472222,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-15,-75.5295,4.699777778,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-16,-75.52433333,4.699361111,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-17,-75.52122222,4.702583333,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-18,-75.51744444,4.705388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-21,-75.51330556,4.70825,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-22,-75.50852778,4.706277778,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-23,-75.50372222,4.705111111,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-24,-75.49902778,4.706277778,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-25,-75.56886111,4.723055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,0.5
CT-UC-02-26,-75.48961111,4.709361111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-27,-75.49413889,4.706611111,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-28,-75.51733333,4.700222222,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-29,-75.56288889,4.715361111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,10,10,10,0.5
CT-UC-02-30,-75.55847222,4.714527778,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.5,10,10,10,0.5
CT-UC-02-31,-75.51255556,4.698225,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,9.5,10,10,10,5.5
CT-UC-02-32,-75.55786111,4.709861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,0.5
CT-UC-02-33,-75.54863889,4.708861111,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,9.5,10,10,10,0.5
PU_Oct-Dec2017_CT-PU-01-01,-76.35786,1.78917,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,9.5,10,10,10,4.5
PU_Oct-Dec2017_CT-PU-02-01,-76.33517,1.81078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-02,-76.35872,1.78528,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
PU_Oct-Dec2017_CT-PU-02-02,-76.33972,1.8105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-03,-76.34894,1.79267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
PU_Oct-Dec2017_CT-PU-02-03,-76.33497,1.81547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-04,-76.34411,1.79256,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,10,10,10,5.5
PU_Oct-Dec2017_CT-PU-02-04,-76.33992,1.80581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-05,-76.33142,1.79267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,7.5
PU_Oct-Dec2017_CT-PU-02-05,-76.33506,1.82014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,8.5
