"","o1","o2","o3","o4","o5","o6"
"CT-BB-01",0,0,0,0,0,NA
"CT-BB-02",0,1,0,0,0,NA
"CT-BB-03",NA,0,0,0,0,NA
"CT-BB-04",0,0,0,0,0,NA
"CT-BB-05",NA,0,0,0,0,NA
"CT-BB-06",NA,0,0,0,0,NA
"CT-BB-07",NA,0,0,0,0,NA
"CT-BB-08",NA,0,0,0,0,NA
"CT-BB-09",NA,1,0,0,0,NA
"CT-BB-10",NA,0,0,0,0,NA
"CT-BB-11",NA,0,0,0,0,NA
"CT-BB-12",NA,NA,NA,NA,NA,NA
"CT-BB-13",NA,0,0,0,0,NA
"CT-BB-14",NA,1,0,1,1,NA
"CT-BB-15",NA,0,0,0,0,NA
"CT-BB-16",NA,0,0,0,0,NA
"CT-BB-17",NA,NA,NA,NA,NA,NA
