"","o1","o2","o3","o4","o5","o6"
"CT-WILD-01",NA,0,0,NA,NA,NA
"CT-WILD-02",NA,0,0,0,0,NA
"CT-WILD-03",0,0,0,0,0,NA
"CT-WILD-04",0,0,0,0,0,NA
"CT-WILD-05",0,0,0,0,0,NA
"CT-WILD-06",0,0,0,0,0,NA
"CT-WILD-07",0,0,0,0,0,NA
"CT-WILD-08",0,0,0,0,0,NA
"CT-WILD-09",0,0,0,0,0,NA
"CT-WILD-10",0,0,0,0,1,NA
"CT-WILD-12",NA,0,0,0,0,NA
"CT-WILD-13",NA,0,0,0,0,NA
"CT-WILD-14",NA,0,0,0,0,NA
"CT-WILD-15",NA,0,0,0,0,NA
"CT-WILD-16",NA,0,0,0,0,NA
"CT-WILD-17",NA,0,0,0,0,NA
"CT-WILD-18",NA,0,0,0,1,NA
"CT-WILD-19",NA,0,0,0,0,NA
"CT-WILD-20",NA,0,0,0,0,NA
